CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUCTURE,CNSS_YR,FOIP_IND,RES_CNT,DWELL_CNT,PRSCH_CHLD,ELECT_CNT,EMPLYD_CNT,OWNSHP_CNT,DOG_CNT,CAT_CNT,PUB_SCH,SEP_SCH,PUBSEP_SCH,OTHER_SCH,UNKNWN_SCH,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,OTHER_MISC,APT_NO_RES,APT_OCCPD,APT_OWNED,APT_PERSON,APT_VACANT,APT_UC,APT_NA,CNV_NO_RES,CNV_OCCPD,CNV_OWNED,CNV_PERSON,CNV_VACANT,CNV_UC,CNV_NA,DUP_NO_RES,DUP_OCCPD,DUP_OWNED,DUP_PERSON,DUP_VACANT,DUP_UC,DUP_NA,MFH_NO_RES,MFH_OCCPD,MFH_OWNED,MFH_PERSON,MFH_VACANT,MFH_UC,MFH_NA,MUL_NO_RES,MUL_OCCPD,MUL_OWNED,MUL_PERSON,MUL_VACANT,MUL_UC,MUL_NA,OTH_NO_RES,OTH_OCCPD,OTH_OWNED,OTH_PERSON,OTH_VACANT,OTH_UC,OTH_NA,TWN_NO_RES,TWN_OCCPD,TWN_OWNED,TWN_PERSON,TWN_VACANT,TWN_UC,TWN_NA,SF_NO_RES,SF_OCCPD,SF_OWNED,SF_PERSON,SF_VACANT,SF_UC,SF_NA,OTH_STRTY,DWELSZ_1,DWELSZ_2,DWELSZ_3,DWELSZ_4_5,DWELSZ_6,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75,OTHER_CNT,OTHER_0_4,OTHER_5_14,OTHER_15_19,OTHER_20_24,OTHER_25_34,OTHER_35_44,OTHER_45_54,OTHER_55_64,OTHER_65_74,OTHER_75
Residential,1,MCT,MCKENZIE TOWNE,SOUTHEAST,DEVELOPING,BUILDING OUT,2019,,18283,7166,1895,0,0,5355,0,0,3655,1291,591,293,1336,3662,640,0,1496,1248,0,32,0,0,86,2,0,0,0,0,1447,830,2567,45,0,0,1,24,0,36,7,0,0,0,631,502,1608,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,369,11,0,0,2,1220,882,2464,26,0,0,0,3626,3141,11239,35,0,0,88,1549,2488,1274,1540,168,8995,9200,674,1393,482,366,1539,1861,1248,777,441,214,650,1361,407,393,1496,1869,1216,894,592,322,1330,2778,889,759,3050,3753,2473,1671,1033,536,77,6,24,0,0,15,23,9,0,0,0
Residual Sub Area,4,12K,12K,SOUTHEAST,N/A,UNDEVELOPED,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,AUB,AUBURN BAY,SOUTHEAST,DEVELOPING,BUILDING OUT,2019,,17607,6046,2422,0,0,4342,0,0,2899,1335,655,277,879,3790,611,1,887,743,0,11,0,0,2,1,0,0,0,7,826,286,1434,54,0,0,0,10,0,18,1,0,0,0,598,415,1590,11,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,181,0,0,0,1,688,331,1421,42,12,0,1,3746,3310,12959,34,8,0,3,878,1601,1178,2014,197,8722,8831,911,1762,409,287,1475,2055,1026,466,246,85,906,1583,399,306,1745,2046,868,517,331,130,1825,3345,808,593,3232,4109,1905,983,577,215,39,8,0,0,0,12,8,11,0,0,0
Residual Sub Area,4,12B,12B,SOUTHEAST,N/A,UNDEVELOPED,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,NEB,NEW BRIGHTON,SOUTHEAST,DEVELOPING,BUILDING OUT,2019,,13103,4320,1711,0,0,3537,0,0,2213,909,340,152,705,3264,144,0,204,693,0,15,0,0,0,0,0,0,0,0,196,122,353,7,0,0,0,15,0,31,0,0,0,0,144,108,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,686,461,1531,7,0,0,1,3232,2846,10797,29,0,2,0,527,1146,964,1454,177,6592,6491,700,1216,308,260,1225,1502,802,369,159,51,590,1189,312,251,1363,1488,693,376,186,43,1290,2405,620,511,2588,2997,1495,745,345,94,7,0,0,0,0,0,7,0,0,0,0
Industrial,2,ESH,EAST SHEPARD INDUSTRIAL,SOUTHEAST,N/A,EMPLOYMENT,2019,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,OGD,OGDEN,SOUTHEAST,BUILT-OUT,1950s,2019,,8576,3875,594,0,0,2120,0,0,2239,494,199,69,872,2142,515,2,327,549,0,330,0,4,3,1,0,2,0,0,319,0,616,8,0,0,4,253,10,375,53,0,18,0,509,242,1382,5,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9,0,105,1,0,0,0,534,239,1216,15,0,0,1,2086,1629,4874,37,3,2,10,1070,1434,605,526,70,4591,3965,231,440,201,253,732,767,611,755,403,198,241,405,149,177,653,608,508,609,383,232,472,845,350,430,1385,1375,1119,1364,786,430,0,0,0,0,0,0,0,0,0,0,0
Residential,1,CPF,COPPERFIELD,SOUTHEAST,DEVELOPING,BUILDING OUT,2019,,13823,5012,1784,0,0,3966,0,0,2249,1089,469,158,1046,3050,50,0,969,921,0,21,0,0,1,0,0,0,0,3,956,582,1736,10,0,0,0,17,0,33,3,0,1,0,49,36,124,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,875,669,2084,17,25,0,0,3004,2679,9845,15,26,0,1,873,1487,1017,1349,175,6963,6828,709,1198,319,304,1471,1560,795,383,174,50,642,1111,323,301,1537,1556,699,406,204,49,1357,2317,642,605,3008,3116,1494,789,378,99,14,6,8,0,0,0,0,0,0,0,0
Residual Sub Area,4,12I,12I,SOUTHEAST,N/A,UNDEVELOPED,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,12A,12A,SOUTHEAST,N/A,OTHER,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
